"index","brand","model","mileage","year","fuel_type","ownerCount","accidentCount","transmission","city","state","body_style","engine","drive_train","price"
"7729","Ford","Fusion","73615","2015","Gas","2","0","Automatic","San Francisco","CA","Sedan","2.5L Inline-4 Gas","FWD","13999"
"7730","Porsche","Macan","27500","2018","Gas","1","0","Automatic","Colma","CA","SUV","2.0L Inline-4 Gas Turbocharged","AWD","49990"
"7731","Chrysler","Town & Country","50791","2016","Gas","2","0","Automatic","Concord","CA","Minivan","3.6L V-6 Gas","FWD","20690"
"7732","Chevrolet","Silverado 1500","31265","2019","Gas","1","0","Automatic","Vallejo","CA","Pickup Truck","5.3L Inline-8 Gas Turbocharged","4WD","46493"
"7733","Honda","Odyssey","14511","2019","Gas","1","0","Automatic","San Jose","CA","Minivan","3.5L V-6 Gas","FWD","37987"
"7734","Lexus","RX","12811","2020","Gas","1","0","Automatic","Daly City","CA","SUV","3.5L V-6 Gas","FWD","45998"
"7735","Subaru","Crosstrek","5297","2019","Gas","1","0","Automatic","Colma","CA","SUV","2.0L Flat-4 Gas","AWD","34995"
"7736","Subaru","Outback","30140","2018","Gas","1","0","Automatic","Walnut Creek","CA","SUV","2.5L Flat-4 Gas","AWD","27988"
"7737","Cadillac","ELR","47869","2014","Plug-In Hybrid","2","0","Automatic","Daly City","CA","Coupe","1.4L Inline-4 Plug-In Hybrid","FWD","27990"
"7738","Dodge","Charger","22296","2019","Gas","1","0","Automatic","Daly City","CA","Sedan","3.6L V-6 Gas","RWD","30998"
"7739","Ford","Fusion","59452","2018","Hybrid","2","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Hybrid","FWD","20998"
"7740","Ford","F-150","25814","2015","Gas","1","0","Automatic","Daly City","CA","Pickup Truck","3.5L V-6 Gas Turbocharged","4WD","40998"
"7741","Nissan","Rogue","96550","2019","Gas","2","0","Automatic","Daly City","CA","SUV","2.5L Inline-4 Gas","AWD","21998"
"7742","Mercedes-Benz","GLC","32962","2019","Gas","1","0","Automatic","Daly City","CA","SUV","2.0L Inline-4 Gas Turbocharged","AWD","38590"
"7743","Ford","Escape","14120","2019","Gas","1","0","Automatic","Newark","CA","SUV","2.0L Inline-4 Gas Turbocharged","4WD","28432"
"7744","Audi","Q3","15726","2018","Gas","1","0","Automatic","Vallejo","CA","SUV","2.0L Inline-4 Gas Turbocharged","FWD","31995"
"7745","Jeep","Grand Cherokee","78750","2013","Gas","2","0","Automatic","San Carlos","CA","SUV","3.6L V-6 Gas","4WD","17995"
"7746","Volkswagen","Jetta","40155","2019","Gas","1","0","Automatic","Daly City","CA","Sedan","1.4L Inline-4 Gas Turbocharged","FWD","22998"
